JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    64.887,  1068.907,   708.954,     7.291,     0.000,     0.000,     0.000,     0.450,   118.577,  1204.309,     1.000,     7.349,  -159.370,     0.000,   242.364,   343.623,    42.549,    15.561,     0.000,
    64.917,  1091.669,   708.954,     7.291,     0.000,     0.000,     0.000,     0.450,   118.577,  1204.309,     1.000,     7.351,  -164.157,     0.000,   238.402,   343.353,    39.940,    19.266,     0.000,
    64.966,   804.792,   708.955,     7.291,     0.000,     0.000,     0.000,     0.450,   118.578,  1204.309,     1.000,     7.355,  -160.233,     0.000,   237.900,   343.089,    37.741,    17.303,     0.000,
    65.008,   763.391,   708.956,     7.291,     0.000,     0.000,     0.000,     0.450,   118.579,  1204.309,     1.000,     7.357,  -160.232,     0.000,   237.898,   342.898,    38.098,    17.135,     0.000,
    65.042,  1016.073,   708.957,     7.291,     0.000,     0.000,     0.000,     0.450,   118.580,  1204.309,     1.000,     7.358,  -176.386,     0.000,   232.277,   342.758,    39.970,    25.935,     0.000,
    65.088,   499.410,   708.957,     7.291,     0.000,     0.000,     0.000,     0.450,   118.580,  1204.309,     1.000,     7.359,  -180.792,     0.000,   231.603,   342.612,    42.563,    27.219,     0.000,
    65.130,   484.767,   708.958,     7.291,     0.000,     0.000,     0.000,     0.450,   118.581,  1204.309,     1.000,     7.359,  -180.966,     0.000,   231.615,   342.495,    42.985,    27.102,     0.000,
    65.167,   780.721,   708.959,     7.290,     0.000,     0.000,     0.000,     0.450,   118.582,  1204.309,     1.000,     7.359,  -184.882,     0.000,   229.782,   342.387,    42.752,    29.525,     0.000,
    65.220,  1143.054,   708.960,     7.290,     0.000,     0.000,     0.000,     0.450,   118.583,  1204.309,     1.000,     7.358,  -179.755,     0.000,   229.687,   342.275,    40.244,    26.922,     0.000,
    65.254,   403.047,   708.960,     7.290,     0.000,     0.000,     0.005,     0.450,   118.583,  1204.309,     1.000,     7.357,  -188.671,     0.005,   227.759,   342.184,    43.701,    30.550,     0.000,
    65.292,   576.200,   708.961,     7.290,     0.000,     0.000,    18.083,     0.450,   118.584,  1204.309,     1.000,     7.355,  -171.903,    17.060,   229.666,   342.097,    47.088,    29.443,     0.000,
    65.334,    74.766,   708.962,     7.290,     0.000,     0.000,    97.666,     0.450,   118.585,  1204.309,     1.000,     7.354,   -79.186,    92.138,   233.834,   342.032,    41.393,    21.732,     0.000,
    65.380,   457.263,   708.963,     7.290,     0.000,     0.000,   238.165,     0.450,   118.586,  1204.309,     1.000,     7.354,    85.977,   224.684,   241.141,   342.023,    28.838,     8.987,     0.000,
    65.426,   810.070,   708.963,     7.290,     0.000,     0.000,   511.984,     0.450,   118.586,  1204.309,     1.000,     7.357,   378.135,   483.004,   259.013,   342.328,    27.088,    -5.535,     0.000,
    65.461,   314.102,   708.964,     7.290,     0.000,     0.000,   559.819,     0.450,   118.587,  1204.309,     1.000,     7.360,   447.954,   528.131,   274.795,   342.979,    28.720,   -16.727,     0.000,
    65.507,   673.305,   708.965,     7.290,     0.000,     0.000,   637.138,     0.450,   118.588,  1204.309,     1.000,     7.364,   561.727,   601.074,   298.179,   343.851,    26.308,   -32.633,     0.000,
    65.552,   985.787,   708.966,     7.290,     0.000,     0.000,   637.341,     0.450,   118.589,  1204.309,     1.000,     7.367,   569.169,   601.265,   312.294,   344.781,    42.429,   -42.820,     0.000,
    65.591,   784.068,   708.967,     7.290,     0.000,     0.000,   616.458,     0.450,   118.590,  1204.309,     1.000,     7.369,   547.236,   581.564,   316.027,   345.526,    49.473,   -44.644,     0.000,
    65.630,   471.016,   708.967,     7.290,     0.000,     0.000,   308.721,     0.450,   118.590,  1204.309,     1.000,     7.369,   252.761,   291.246,   316.129,   345.832,    54.974,   -46.192,     0.000,
    65.673,   575.960,   708.968,     7.290,     0.000,     0.000,   258.911,     0.450,   118.591,  1204.309,     1.000,     7.365,   197.318,   244.256,   312.609,   345.791,    62.895,   -49.140,     0.000,
    65.713,   507.200,   708.969,     7.290,     0.000,     0.000,   175.282,     0.450,   118.592,  1204.309,     1.000,     7.361,   100.044,   165.361,   302.119,   345.559,    59.939,   -38.064,     0.000,
